id,createdTime,Calculation,Cohort 2 (from Schools),Created,Date,DateAsString,SchoolRecID (from Schools),Schools,Workshops
recUbev2jtt0xst7H,2025-03-10T15:56:04.000Z,0,recZqfQ4RkbnW2JIg,2025-03-10T15:56:04.000Z,2026-03-09,"""2026-03-09""",rec2XZJ1Vgcmnq1am,rec2XZJ1Vgcmnq1am,
recUbixAqbw1b9cTk,2026-02-11T22:42:55.000Z,0,rectzlwUZbg7DifiH,2026-02-11T22:42:55.000Z,2026-11-26,"""2026-11-26""",recrtZnWAXCS6aKUy,recrtZnWAXCS6aKUy,
recUckiOn6IAP7eCb,2025-03-18T21:52:11.000Z,0,rectzlwUZbg7DifiH,2025-03-18T21:52:11.000Z,2026-03-17,"""2026-03-17""",recT5hYu9j1OTVtv6,recT5hYu9j1OTVtv6,
recUdBpkf9M3YgULb,2026-02-11T20:45:47.000Z,0,recBegBohgNLuxvd6,2026-02-11T20:45:47.000Z,2026-12-29,"""2026-12-29""",recsGk9jfM4iqIxVj,recsGk9jfM4iqIxVj,
recUdId5kOcZHgpJu,2025-03-16T17:53:34.000Z,0,recEnnhjHMIV8c8HC,2025-03-16T17:53:34.000Z,2025-10-01,"""2025-10-01""",recDGlhj71Jm0S4uY,recDGlhj71Jm0S4uY,
recUdM4KhZA9z6pTl,2025-03-06T20:25:47.000Z,0,rec64hxpgTEzgyOio,2025-03-06T20:25:47.000Z,2026-02-10,"""2026-02-10""",recVCrjNijhtTrVAm,recVCrjNijhtTrVAm,
recUeAHCFpC4yRqNB,2025-03-28T15:37:57.000Z,0,recBzTKhTFt0rpyZj,2025-03-28T15:37:57.000Z,2026-01-01,"""2026-01-01""",recc6DGM4v1CDuNHg,recc6DGM4v1CDuNHg,
recUerOXyseCs8q4C,2025-03-10T17:01:09.000Z,0,recBzTKhTFt0rpyZj,2025-03-10T17:01:09.000Z,2025-10-29,"""2025-10-29""",recPzDFvnXBYkCVLG,recPzDFvnXBYkCVLG,
recUf2H3le3JRpth1,2026-03-03T01:09:56.000Z,0,reccBfPpfUFwgTi5y,2026-03-03T01:09:56.000Z,2027-02-15,"""2027-02-15""",recW5oZBwg13r5PcW,recW5oZBwg13r5PcW,
recUibi1PZQs0E5LN,2025-03-11T21:26:34.000Z,0,rectzlwUZbg7DifiH,2025-03-11T21:26:34.000Z,2025-09-08,"""2025-09-08""",recjjFI31GOVqZNNb,recjjFI31GOVqZNNb,
recUku0POBPmn4exu,2025-03-12T16:56:43.000Z,0,rectzlwUZbg7DifiH,2025-03-12T16:56:43.000Z,2026-04-02,"""2026-04-02""",reccEPUJCe3hcX1fb,reccEPUJCe3hcX1fb,
recUmnqXVQXk8pfNb,2025-03-03T18:58:40.000Z,0,"recqdUH6FuIRtHTNP,reccBfPpfUFwgTi5y",2025-03-03T18:58:40.000Z,2026-06-17,"""2026-06-17""",receJmrA20g5Udttr,receJmrA20g5Udttr,
